kode_standar;nama_standar;tipe;kelompok
1.1.7.01.01.01.001;Aspal;SSH;1
1.1.7.01.01.01.002;Semen;SSH;1
1.1.7.01.01.01.003;Kaca;SSH;1
1.1.7.01.01.01.004;Pasir;SSH;1
1.1.7.01.01.01.005;Batu;SSH;1
1.1.7.01.01.01.006;Cat;SSH;1
1.1.7.01.01.01.007;Seng;SSH;1
1.1.7.01.01.01.008;Baja;SSH;1
1.1.7.01.01.01.009;Electro Dalas;SSH;1
1.1.7.01.01.01.010;Patok Beton;SSH;1
1.1.7.01.01.01.011;Tiang Beton;SSH;1
1.1.7.01.01.01.012;Besi Beton;SSH;1
1.1.7.01.01.01.013;Tegel;SSH;1
1.1.7.01.01.01.014;Genteng;SSH;1
1.1.7.01.01.01.015;Bis Beton;SSH;1
1.1.7.01.01.01.016;Plat;SSH;1
1.1.7.01.01.01.017;Steel Sheet Pile;SSH;1
1.1.7.01.01.01.018;Concrete Sheet Pile;SSH;1
1.1.7.01.01.01.019;Kawat Bronjong;SSH;1
1.1.7.01.01.01.020;Karung;SSH;1
1.1.7.01.01.01.021;Minyak Cat/Thinner;SSH;1
1.1.7.01.01.01.022;Bahan Bangunan Dan Konstruksi Lainnya;SSH;1
1.1.7.01.01.02.001;Bahan Kimia Padat;SSH;1
1.1.7.01.01.02.002;Bahan Kimia Cair;SSH;1
1.1.7.01.01.02.003;Bahan Kimia Gas;SSH;1
1.1.7.01.01.02.004;Bahan Kimia Nuklir;SSH;1
1.1.7.01.01.02.005;Bahan Kimia Lainnya;SSH;1
1.1.7.01.01.03.001;Anfo;SSH;1
1.1.7.01.01.03.002;Detonator;SSH;1
1.1.7.01.01.03.003;Dinamit;SSH;1
1.1.7.01.01.03.004;Gelatine;SSH;1
1.1.7.01.01.03.005;Sumbu Ledak/Api;SSH;1
1.1.7.01.01.03.006;Amunisi;SSH;1
1.1.7.01.01.03.007;Bahan Peledak Lainnya;SSH;1
1.1.7.01.01.04.001;Bahan Bakar Minyak;SSH;1
1.1.7.01.01.04.002;Minyak Pelumas;SSH;1
1.1.7.01.01.04.003;Minyak Hydrolis;SSH;1
1.1.7.01.01.04.004;Bahan Bakar Gas;SSH;1
1.1.7.01.01.04.005;Batubara;SSH;1
1.1.7.01.01.04.006;Bahan Bakar Dan Pelumas Lainnya;SSH;1
1.1.7.01.01.05.001;Kawat;SSH;1
1.1.7.01.01.05.002;Kayu;SSH;1
1.1.7.01.01.05.003;Logam/Metalorgi;SSH;1
1.1.7.01.01.05.004;Latex;SSH;1
1.1.7.01.01.05.005;Biji Plastik;SSH;1
1.1.7.01.01.05.006;Karet (Bahan Baku);SSH;1
1.1.7.01.01.05.007;Bahan Baku Lainnya;SSH;1
1.1.7.01.01.06.001;Uranium - 233;SSH;1
1.1.7.01.01.06.002;Uranium - 235;SSH;1
1.1.7.01.01.06.003;Uranium - 238;SSH;1
1.1.7.01.01.06.004;Plutonium (Pu);SSH;1
1.1.7.01.01.06.005;Neptarim (Np);SSH;1
1.1.7.01.01.06.006;Uranium Dioksida;SSH;1
1.1.7.01.01.06.007;Thorium;SSH;1
1.1.7.01.01.06.008;Bahan Kimia Nuklir Lainnya;SSH;1
1.1.7.01.01.07.001;Barang Dalam Proses;SSH;1
1.1.7.01.01.07.002;Barang Dalam Proses Lainnya;SSH;1
1.1.7.01.01.08.001;Bahan/Bibit Tanaman Pertanian;SSH;1
1.1.7.01.01.08.002;Bahan/Bibit Tanaman Perkebunan;SSH;1
1.1.7.01.01.08.003;Bahan/Bibit Tanaman Lainnya;SSH;1
1.1.7.01.01.09.001;Isi Tabung Pemadam Kebakaran 3 Kg Abc Powder;SSH;1
1.1.7.01.01.09.002;Isi Tabung Pemadam Kebakaran Lainnya;SSH;1
1.1.7.01.01.10.001;Isi Tabung Gas Oksigen;SSH;1
1.1.7.01.01.10.002;Isi Tabung Gas Elpiji;SSH;1
1.1.7.01.01.10.003;Isi Tabung Gas Lainnya;SSH;1
1.1.7.01.01.11.001;Bahan/Bibit Ternak;SSH;1
1.1.7.01.01.11.002;Bahan/Bibit Ikan;SSH;1
1.1.7.01.01.11.003;Bahan/Bibit Ternak/Bibit Ikan Lainnya;SSH;1
1.1.7.01.01.12.001;Bahan Lainnya;SSH;1
1.1.7.01.02.01.001;Suku Cadang Alat Angkutan Darat Bermotor;SSH;1
1.1.7.01.02.01.002;Suku Cadang Alat Angkutan Darat Tak Bermotor;SSH;1
1.1.7.01.02.01.003;Suku Cadang Alat Angkutan Apung Bermotor;SSH;1
1.1.7.01.02.01.004;Suku Cadang Alat Angkutan Apung Tak Bermotor;SSH;1
1.1.7.01.02.01.005;Suku Cadang Alat Angkutan Udara Bermotor;SSH;1
1.1.7.01.02.01.006;Suku Cadang Alat Angkutan Lainnya;SSH;1
1.1.7.01.02.02.001;Suku Cadang Alat Besar Darat;SSH;1
1.1.7.01.02.02.002;Suku Cadang Alat Besar Apung;SSH;1
1.1.7.01.02.02.003;Suku Cadang Alat Besar Bantu;SSH;1
1.1.7.01.02.02.004;Suku Cadang Alat Besar Lainnya;SSH;1
1.1.7.01.02.03.001;Suku Cadang Alat Kedokteran Umum;SSH;1
1.1.7.01.02.03.002;Suku Cadang Alat Kedokteran Gigi;SSH;1
1.1.7.01.02.03.003;Suku Cadang Alat Kedokteran Keluarga Berencana;SSH;1
